    Comp Level    Points    Minutes Played
Player A       Elite         10.1          22
Player A       Middle        -5            22
Player A       Low           7.2           22
Player B       Elite         0.8           20
Player B       Middle        5.6           20
Player B       Low           2.2           20
Player C       Elite        -7.2           18
Player C       Middle        3.3           21
Player C       Low           6.6           23
Player D       Elite        -7.2           18
Player D       Middle        3.3           21
Player D       Low           6.6           23
Player E       Elite        -7.2           18
Player E       Middle        3.3           21
Player E       Low           6.6           23
Player F       Elite        -7.2           18
Player F       Middle        3.3           21
Player F       Low           6.6           23
